0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63
21	38	30	9	3	11	6	16	33	46	10	13	5	14	1	23	52	60	43	8	2	0	18	31	7	39	4	17	24	36	12	44	26	50	54	47	61	49	48	25	41	59	27	29	63	55	32	58	35	34	62	56	28	37	42	57	40	53	15	20	19	51	45	22
21	38	30	9	3	11	6	16	33	46	10	13	5	14	1	23	52	60	43	8	2	0	18	31	7	39	24	17	4	36	12	44	26	50	54	47	61	49	48	25	41	59	27	29	63	55	32	58	35	34	62	56	28	37	42	57	40	53	15	20	19	51	45	22
21	38	30	9	3	11	6	16	33	46	10	13	5	14	1	23	52	60	43	8	2	0	18	31	7	39	24	17	4	36	12	44	26	50	54	47	61	49	48	22	41	59	27	29	63	55	32	58	35	34	62	56	28	37	42	57	40	53	15	20	19	51	45	25
21	38	30	9	3	11	6	16	33	46	10	13	5	14	1	23	52	60	43	8	2	0	18	31	7	48	24	17	4	36	12	44	26	50	54	47	61	49	39	22	41	59	27	29	63	55	32	58	35	34	62	56	28	37	42	57	40	53	15	20	19	51	45	25
21	38	30	9	3	11	6	16	33	46	10	13	5	14	1	23	52	60	43	8	2	0	18	31	7	48	24	17	4	36	12	44	26	50	54	47	61	49	39	22	41	59	27	29	63	55	32	58	35	34	62	56	28	37	42	57	40	53	15	20	19	51	45	25
21	38	30	9	3	11	6	16	33	46	10	13	5	14	1	23	52	60	43	8	2	0	18	31	7	48	24	17	4	36	12	44	26	50	54	47	61	49	39	22	41	59	27	29	63	55	32	58	35	34	62	56	28	37	42	57	40	53	19	20	15	51	45	25
21	38	30	9	3	11	6	16	33	46	10	13	5	14	1	23	52	60	43	8	2	0	18	31	7	48	24	17	4	12	36	44	26	50	54	47	61	49	39	22	41	59	27	29	63	55	32	58	35	34	62	56	28	37	42	57	40	53	19	20	15	51	45	25
21	38	30	9	3	11	6	16	33	46	10	13	5	14	1	23	52	60	43	8	2	0	22	31	7	48	24	17	4	12	36	44	26	50	54	47	61	49	39	18	41	59	27	29	63	55	32	58	35	34	62	56	28	37	42	57	40	53	19	20	15	51	45	25
21	38	30	9	3	11	6	16	33	60	10	13	5	14	1	23	52	46	43	8	2	0	22	31	7	48	24	17	4	12	36	44	26	50	54	47	61	49	39	18	41	59	27	29	63	55	32	58	35	34	62	56	28	37	42	57	40	53	19	20	15	51	45	25
21	38	30	11	3	9	6	16	33	60	10	13	5	14	1	23	52	46	43	8	2	0	22	31	7	48	24	17	4	12	36	44	26	50	54	47	61	49	39	18	41	59	27	29	63	55	32	58	35	34	62	56	28	37	42	57	40	53	19	20	15	51	45	25
